display_name,ValorBaixa,DtLancamento,IdFilial
Interlomas,"1.599,99",2025-12-02,3
Cuernavaca,"899,00",2025-12-02,5
Cuernavaca,"999,00",2025-12-02,5
Cuernavaca,"999,00",2025-12-02,5
Cuernavaca,"999,00",2025-12-02,5
Cuernavaca,"999,00",2025-12-02,5
Cuernavaca,"999,00",2025-12-02,5
Cuernavaca,"999,00",2025-12-02,5
Cuernavaca,"999,00",2025-12-02,5
Cuernavaca,"999,00",2025-12-02,5
Cuernavaca,"999,00",2025-12-02,5
Cuernavaca,"999,00",2025-12-02,5
Cuernavaca,"999,00",2025-12-02,5
Interlomas,"98,99",2025-12-15,3
Cuernavaca,"999,00",2025-12-15,5
Interlomas,"35,00",2025-12-15,3
Cuernavaca,"999,00",2025-12-15,5
Interlomas,"35,00",2025-12-15,3
Landmark,"40,00",2025-12-15,9
Interlomas,"1.599,99",2025-12-15,3
Sao Paulo,"30,00",2025-12-15,2
Cuernavaca,"35,00",2025-12-15,5
Cuernavaca,"98,99",2025-12-15,5
Sao Paulo,"35,00",2025-12-15,2
Landmark,"35,00",2025-12-15,9
Sao Paulo,"35,00",2025-12-15,2
Cuernavaca,"141,99",2025-12-15,5
Landmark,"1.599,99",2025-12-02,9
Interlomas,"1.299,00",2025-12-02,3
Cuernavaca,"79,99",2025-12-02,5
Interlomas,"1.299,00",2025-12-15,3
Interlomas,"1.599,99",2025-12-15,3
Cuernavaca,"999,00",2025-12-03,5
Landmark,"40,00",2025-12-03,9
Interlomas,"98,99",2025-12-03,3
Interlomas,"1.299,00",2025-12-03,3
Euroten Santa Fe,"120,00",2025-12-03,1
Euroten Santa Fe,"10,00",2025-12-03,1
Euroten Santa Fe,"35,00",2025-12-03,1
Euroten Santa Fe,"65,00",2025-12-03,1
Euroten Santa Fe,"40,00",2025-12-03,1
Interlomas,"1.599,99",2025-12-03,3
Landmark,"75,00",2025-12-03,9
Cuernavaca,"40,00",2025-12-03,5
Cuernavaca,"35,00",2025-12-03,5
Interlomas,"98,99",2025-12-03,3
Sao Paulo,"1.599,99",2025-12-03,2
Sao Paulo,"1.299,00",2025-12-03,2
Euroten Santa Fe,"350,00",2025-12-03,1
Euroten Santa Fe,"50,00",2025-12-03,1
Interlomas,"1.299,00",2025-12-03,3
Euroten Santa Fe,"98,99",2025-12-03,1
Euroten Santa Fe,"98,99",2025-12-03,1
Cuernavaca,"999,00",2025-12-03,5
Landmark,"30,00",2025-12-03,9
Sao Paulo,"40,00",2025-12-03,2
Interlomas,"98,99",2025-12-03,3
Cuernavaca,"35,00",2025-12-03,5
Euroten Santa Fe,"1.299,00",2025-12-03,1
Interlomas,"80,00",2025-12-03,3
Interlomas,"35,00",2025-12-03,3
Interlomas,"35,00",2025-12-03,3
Interlomas,"50,00",2025-12-03,3
Cuernavaca,"999,00",2025-12-03,5
Landmark,"1.599,99",2025-12-15,9
Sao Paulo,"1.599,99",2025-12-15,2
Bosque Real,"1.599,99",2025-12-15,12
Interlomas,"35,00",2025-12-15,3
Bosque Real,"1.599,99",2025-12-15,12
Landmark,"1.599,99",2025-12-15,9
Reforma,"399,01",2025-12-15,10
Landmark,"1.599,99",2025-12-15,9
Euroten Santa Fe,"79,99",2025-12-15,1
Landmark,"1.599,99",2025-12-15,9
Cuernavaca,"999,00",2025-12-15,5
Landmark,"1.599,99",2025-12-15,9
